birth_rate,country,gdp,health_exp_percent_gdp,health_exp_per_capita,infant_mortality_rate,internet_usage,life_expectancy_female,life_expectancy_male,mobile_phone_usage,no_of_records,population_0_to_14,population_15_to_64,population_65_plus,population_total,population_urban,region,tourism_inbound,tourism_outbound,year,header,personal,business,total,africa,americas,east_asia_and_pacific,europe,middle_east,south_asia,others
0.009,bulgaria,12903546765,0.062,98,0.018,0.1,75,68,0.1,1,0.157,0.677,0.166,8170172,0.689,Europe,1364000000,764000000,2000,Data,4744,178,4922,3,42,24,4780,17,16,39
0.046,burkina faso,2610959139,0.051,12,0.096,0,52,49,0,1,0.468,0.505,0.028,11607944,0.178,Africa,23000000,30000000,2000,Data,67,98,165,47,8,4,63,1,0,3
0.043,nigeria,44138014092,0.048,18,0.11,0,47,46,0,1,0.435,0.538,0.028,126004992,0.357,Africa,168000000,858000000,2001,Data,424,426,850,1235,68,108,270,29,36,6
0.039,kenya,12985991723,0.046,19,0.068,0,54,52,0,1,0.438,0.534,0.028,32126351,0.202,Africa,536000000,183000000,2001,Data,902,92,994,271,85,44,572,0,24,0
0.023,kuwait,34890773740,0.036,634,0.011,0.1,74,73,0.4,1,0.257,0.711,0.033,1980604,0.981,Middle East,286000000,3207000000,2001,Data,26.2,46.6,72.8,18,39,99,69,1264,578,4
0.008,latvia,8313047744,0.062,215,0.014,0.1,77,65,0.3,1,0.172,0.674,0.154,2337170,0.68,Europe,153000000,255000000,2001,Data,1605,434,2039,0,21,16,1999,0,2,0
0.031,lesotho,706430933,0.075,28,0.082,0,46,45,0,1,0.41,0.545,0.046,1871500,0.201,Africa,16000000,166000000,2001,Data,250,44,294,286,1,2,6,0,0,0
0.022,libya,28420321952,0.041,261,0.024,0,74,71,0,1,0.326,0.634,0.04,5258677,0.764,Africa,90000000,572000000,2001,Data,111,58,169,515,1,6,40,388,4,0
0.009,lithuania,12159225000,0.063,220,0.009,0.1,78,66,0.3,1,0.193,0.665,0.142,3470818,0.669,Europe,425000000,227000000,2001,Data,999,272,1271,0,15,11,322,0,0,6
0.04,madagascar,4529575233,0.05,14,0.067,0,60,58,0,1,0.455,0.516,0.03,16235767,0.274,Africa,149000000,179000000,2001,Data,129,41,170,31,7,3,119,0,0,9
0.045,malawi,1716502069,0.051,8,0.097,0,46,46,0,1,0.46,0.51,0.03,11623166,0.147,Africa,40000000,52000000,2001,Data,122,144,266,203,12,0,43,0,0,8
0.022,malaysia,92783947368,0.033,130,0.008,0.3,75,71,0.3,1,0.327,0.634,0.039,23925742,0.629,Asia,7627000000,3391000000,2001,Data,10530,1532,12062,162,322,10833,704,108,212,435
0.023,maldives,802442810,0.053,153,0.032,0,72,70,0.1,1,0.399,0.561,0.039,277825,0.289,Asia,327000000,59000000,2001,Data,461,0,461,2,7,69,364,2,17,0
0.016,mauritius,4536544699,0.038,147,0.015,0.1,75,68,0.2,1,0.255,0.683,0.063,1199881,0.425,Africa,820000000,216000000,2001,Data,648,26.5,674.5,168,8,24,438,1,21,0
0.024,mexico,7.25E+11,0.054,373,0.02,0.1,77,72,0.2,1,0.337,0.613,0.05,105339877,0.75,The Americas,9190000000,6685000000,2001,Data,19201,609,19810,0,19172,0,362,0,0,276
0.019,mongolia,1267997923,0.046,24,0.047,0,67,60,0.1,1,0.336,0.627,0.037,2419669,0.582,Asia,49000000,59000000,2001,Data,165.9,21.5,187.4,0.3,7.6,90.3,88.4,0.1,0.7,0
0.021,morocco,37724674865,0.044,58,0.041,0,70,67,0.2,1,0.333,0.619,0.048,29021156,0.537,Africa,2966000000,589000000,2001,Data,4086,293,4379,97,149,43,1864,85,6,2135
0.045,mozambique,4075049537,0.056,12,0.109,0,49,46,0,1,0.44,0.529,0.032,18785719,0.293,Africa,64000000,132000000,2001,Data,179,144,323,368,0,0,37,0,0,0
0.031,namibia,3546791603,0.062,113,0.049,0,56,52,0.1,1,0.403,0.564,0.033,1931282,0.329,Africa,264000000,71000000,2001,Data,521,150,671,536,9,0,112,0,0,13
0.032,nepal,6007061224,0.053,13,0.057,0,64,62,0,1,0.403,0.559,0.039,23655119,0.14,Asia,191000000,128000000,2001,Data,324,37,361,2,43,88,142,0,86,0
0.014,new zealand,53305639461,0.077,1052,0.006,0.5,81,76,0.6,1,0.225,0.657,0.118,3880500,0.858,Oceania,2340000000,1255000000,2001,Data,1662,247,1909,21,240,1159,387,5,15,81
0.027,nicaragua,5323146568,0.053,54,0.031,0,73,67,0,1,0.403,0.559,0.038,5176685,0.55,The Americas,135000000,128000000,2001,Data,185,298,483,1,432,9,40,0,1,0
0.053,niger,1945327546,0.074,12,0.098,0,51,51,0,1,0.481,0.494,0.025,11396434,0.163,Africa,30000000,33000000,2001,Data,25,28,53,35,2,1,14,0,0,0
0.013,norway,1.71E+11,0.098,3705,0.004,0.6,82,76,0.8,1,0.2,0.65,0.15,4513751,0.766,Europe,2380000000,4718000000,2001,Data,2297,776,3073,0,141,0,2817,0,0,115
0.023,oman,19949284975,0.031,263,0.013,0.1,75,71,0.1,1,0.369,0.607,0.024,2239025,0.715,Middle East,538000000,703000000,2001,Data,943,152,1095,0,0,0,0,0,0,0
0.03,pakistan,72309738921,0.028,13,0.086,0,65,63,0,1,0.409,0.552,0.04,146857081,0.334,Asia,533000000,555000000,2001,Data,373,127,500,15,82,43,205,30,124,1
0.024,panama,11807500000,0.077,293,0.021,0.1,78,73,0.2,1,0.318,0.625,0.056,3116409,0.625,The Americas,665000000,227000000,2001,Data,251,142,393,0,367,11,32,0,0,0
0.035,papua new guinea,3081029666,0.045,25,0.058,0,61,57,0,1,0.402,0.573,0.025,5518971,0.132,Oceania,5200000,38000000,2001,Data,20,34,54,0,6,40,5,0,3,0
0.028,paraguay,7662595076,0.076,107,0.027,0,73,68,0.2,1,0.377,0.578,0.045,5460621,0.56,The Americas,91000000,130000000,2001,Data,248,30,278,0,260,3,15,0,0,0
0.024,peru,51295103189,0.047,96,0.028,0.1,74,68,0.1,1,0.337,0.614,0.049,26372358,0.734,The Americas,763000000,773000000,2001,Data,868,33,901,2,534,38,221,0,1,104
0.029,philippines,76261998623,0.03,29,0.03,0,70,64,0.2,1,0.382,0.585,0.033,79297756,0.477,Asia,2011000000,1918000000,2001,Data,1440,330,1770,2,451,986,202,16,22,118
