Personal,Business,Africa,Americas,East Asia and Pacific,Europe,Middle East,South Asia,Other not Classified,Birth Rate,GDP,Health Exp % GDP,Health Exp/Capita,Infant Mortality Rate,Internet Usage,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Number of Records,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Tourism Inbound,Tourism Outbound,Personal Percentage,Business Percentage,Higher Tourism Percentage
331.0,68.0,1.0,309.0,4.0,83.0,0.0,1.0,1.0,0.015,8154315708.0,0.04,260.0,0.025,0.1,72.0,65.0,0.1,1.0,0.256,0.679,0.065,1267980.0,0.108,371000000.0,190000000.0,82.95739348370927,17.042606516290725,Business
10267.0,1425.0,15.0,71.0,27.0,6283.0,18.0,11.0,5.0,0.008,31261527363.0,0.056,36.0,0.016,0.0,74.0,62.0,0.0,1.0,0.175,0.688,0.138,49175848.0,0.671,563000000.0,561000000.0,87.81217926787546,12.18782073212453,Personal
17201.0,8008.0,618.0,5287.0,2256.0,16306.0,428.0,314.0,0.0,0.012,1493628385535.0,0.07,1761.0,0.006,0.3,80.0,75.0,0.7,1.0,0.19,0.652,0.158,58892514.0,0.787,29978000000.0,47009000000.0,68.23356737673053,31.76643262326947,Business
2127.0,109.0,0.0,1758.0,7.0,85.0,0.0,0.0,386.0,0.016,22823255806.0,0.112,773.0,0.015,0.1,78.0,71.0,0.1,1.0,0.246,0.624,0.131,3320841.0,0.92,827000000.0,381000000.0,95.12522361359571,4.874776386404293,Personal
52.0,6.0,0.0,2.0,52.0,3.0,0.0,0.0,1.0,0.032,272014693.0,0.036,52.0,0.02,0.0,69.0,66.0,0.0,1.0,0.415,0.552,0.033,185058.0,0.217,69000000.0,9000000.0,89.65517241379311,10.344827586206897,Personal
256.0,201.0,294.0,27.0,28.0,105.0,0.0,2.0,0.0,0.045,3253551750.0,0.056,18.0,0.1,0.0,42.0,42.0,0.0,1.0,0.457,0.515,0.027,10100981.0,0.348,67000000.0,102000000.0,56.01750547045952,43.98249452954048,Business
243.0,97.0,0.1,14.0,2.0,320.0,1.0,0.3,5.0,0.018,4091020249.0,0.06,75.0,0.022,0.0,78.0,72.0,0.1,1.0,0.297,0.632,0.071,3064111.0,0.424,451000000.0,269000000.0,71.47058823529412,28.52941176470588,Business
56.0,11.0,15.0,9.0,4.0,38.0,0.0,1.0,0.0,0.05,8936079253.0,0.058,36.0,0.127,0.0,47.0,45.0,0.0,1.0,0.477,0.499,0.025,14385283.0,0.332,35000000.0,80000000.0,83.5820895522388,16.417910447761194,Business
99.0,25.0,0.0,41.0,3.0,48.0,13.0,18.0,0.0,0.013,2118467913.0,0.059,41.0,0.025,0.0,75.0,68.0,0.0,1.0,0.25,0.646,0.104,3059960.0,0.644,81000000.0,59000000.0,79.83870967741935,20.161290322580644,Business
4019.0,837.0,73.0,577.0,2893.0,1197.0,35.0,66.0,14.0,0.013,378642266824.0,0.082,1632.0,0.005,0.5,82.0,77.0,0.6,1.0,0.206,0.669,0.125,19413000.0,0.874,12804000000.0,8053000000.0,82.76359143327842,17.236408566721583,Business
49.0,718.0,0.0,0.0,0.0,272.0,0.0,322.0,173.0,0.014,5707618247.0,0.045,31.0,0.057,0.0,70.0,64.0,0.1,1.0,0.301,0.641,0.058,8111200.0,0.516,57000000.0,119000000.0,6.388526727509778,93.61147327249022,Business
4058.0,330.0,39.0,139.0,135.0,235.0,3447.0,392.0,0.0,0.021,8976446420.0,0.038,488.0,0.011,0.2,76.0,74.0,0.4,1.0,0.305,0.67,0.024,698749.0,0.884,886000000.0,423000000.0,92.47948951686418,7.520510483135825,Personal
173.0,34.0,2.0,19.0,38.0,50.0,4.0,94.0,0.0,0.026,46987842847.0,0.03,10.0,0.062,0.0,66.0,66.0,0.0,1.0,0.364,0.595,0.041,134729503.0,0.241,48000000.0,341000000.0,83.57487922705315,16.425120772946862,Business
450.0,57.0,1.0,256.0,2.0,247.0,0.0,0.0,0.0,0.013,3112350000.0,0.067,635.0,0.015,0.1,76.0,71.0,0.2,1.0,0.217,0.669,0.115,268296.0,0.337,706000000.0,149000000.0,88.75739644970415,11.242603550295858,Personal
1592.0,260.0,0.0,5.0,1.0,55.0,0.0,0.0,0.0,0.009,12354820144.0,0.066,83.0,0.01,0.0,75.0,63.0,0.0,1.0,0.179,0.684,0.137,9928000.0,0.705,272000000.0,486000000.0,85.96112311015118,14.038876889848812,Personal
4054.0,2398.0,64.0,428.0,268.0,5592.0,19.0,27.0,54.0,0.011,232485906040.0,0.083,1878.0,0.005,0.3,81.0,75.0,0.7,1.0,0.175,0.655,0.17,10286570.0,0.972,8304000000.0,10878000000.0,62.83323000619963,37.16676999380037,Business
1095.0,98.0,1019.0,25.0,12.0,55.0,0.0,3.0,80.0,0.027,5489646903.0,0.052,175.0,0.054,0.0,51.0,48.0,0.2,1.0,0.377,0.593,0.03,1783349.0,0.541,235000000.0,215000000.0,91.78541492036881,8.214585079631181,Personal
